"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2015,40,167,2,3,2.99,1.2,1.8
States,Alaska,2015,40,X,X,X,X,X,X
States,Arizona,2015,40,55,0,0,0,0,0
States,Arkansas,2015,40,26,0,1,3.85,0,3.85
States,California,2015,40,683,2,0,0.29,0.29,0
States,Colorado,2015,40,255,0,1,0.39,0,0.39
States,Connecticut,2015,40,304,1,0,0.33,0.33,0
States,Delaware,2015,40,22,0,0,0,0,0
States,District of Columbia,2015,40,X,X,X,X,X,X
States,Florida,2015,40,X,X,X,X,X,X
States,Georgia,2015,40,518,6,5,2.12,1.16,0.97
States,Hawaii,2015,40,234,23,2,10.68,9.83,0.85
States,Idaho,2015,40,11,0,0,0,0,0
States,Illinois,2015,40,266,3,0,1.13,1.13,0
States,Indiana,2015,40,97,0,0,0,0,0
States,Iowa,2015,40,61,0,0,0,0,0
States,Kansas,2015,40,90,2,1,3.33,2.22,1.11
States,Kentucky,2015,40,205,1,0,0.49,0.49,0
States,Louisiana,2015,40,X,X,X,X,X,X
States,Maine,2015,40,X,X,X,X,X,X
States,Maryland,2015,40,27,0,0,0,0,0
States,Massachusetts,2015,40,259,1,2,1.16,0.39,0.77
States,Michigan,2015,40,492,9,0,1.83,1.83,0
States,Minnesota,2015,40,220,1,0,0.45,0.45,0
States,Mississippi,2015,40,140,1,0,0.71,0.71,0
States,Missouri,2015,40,117,0,0,0,0,0
States,Montana,2015,40,91,0,0,0,0,0
States,Nebraska,2015,40,38,0,0,0,0,0
States,Nevada,2015,40,X,X,X,X,X,X
States,New Hampshire,2015,40,21,0,0,0,0,0
States,New Jersey,2015,40,X,X,X,X,X,X
States,New Mexico,2015,40,182,0,0,0,0,0
States,New York,2015,40,1095,4,0,0.37,0.37,0
States,North Carolina,2015,40,133,0,1,0.75,0,0.75
States,North Dakota,2015,40,X,X,X,X,X,X
States,Ohio,2015,40,382,0,2,0.52,0,0.52
States,Oklahoma,2015,40,131,1,0,0.76,0.76,0
States,Oregon,2015,40,139,0,0,0,0,0
States,Pennsylvania,2015,40,364,0,1,0.27,0,0.27
States,Rhode Island,2015,40,X,X,X,X,X,X
States,South Carolina,2015,40,152,0,0,0,0,0
States,South Dakota,2015,40,134,0,0,0,0,0
States,Tennessee,2015,40,103,0,1,0.97,0,0.97
States,Texas,2015,40,1129,6,13,1.68,0.53,1.15
States,Utah,2015,40,335,0,0,0,0,0
States,Vermont,2015,40,91,0,1,1.1,0,1.1
States,Virginia,2015,40,156,0,0,0,0,0
States,Washington,2015,40,245,3,0,1.22,1.22,0
States,West Virginia,2015,40,327,0,0,0,0,0
States,Wisconsin,2015,40,681,1,1,0.29,0.15,0.15
States,Wyoming,2015,40,X,X,X,X,X,X
States,Puerto Rico,2015,40,0,0,0,0,0,0
States,Virgin Islands,2015,40,X,X,X,X,X,X
States,New York City,2015,40,X,X,X,X,X,X
States,Alabama,2015,41,167,2,1,1.8,1.2,0.6
States,Alaska,2015,41,X,X,X,X,X,X
States,Arizona,2015,41,71,0,0,0,0,0
States,Arkansas,2015,41,36,1,0,2.78,2.78,0
States,California,2015,41,661,3,2,0.76,0.45,0.3
States,Colorado,2015,41,281,2,0,0.71,0.71,0
States,Connecticut,2015,41,347,10,3,3.75,2.88,0.86
States,Delaware,2015,41,41,0,0,0,0,0
States,District of Columbia,2015,41,X,X,X,X,X,X
States,Florida,2015,41,X,X,X,X,X,X
States,Georgia,2015,41,483,0,2,0.41,0,0.41
States,Hawaii,2015,41,182,20,1,11.54,10.99,0.55
States,Idaho,2015,41,X,X,X,X,X,X
States,Illinois,2015,41,271,3,0,1.11,1.11,0
States,Indiana,2015,41,96,1,1,2.08,1.04,1.04
States,Iowa,2015,41,55,1,0,1.82,1.82,0
States,Kansas,2015,41,93,2,1,3.23,2.15,1.08
States,Kentucky,2015,41,231,0,0,0,0,0
States,Louisiana,2015,41,X,X,X,X,X,X
States,Maine,2015,41,X,X,X,X,X,X
States,Maryland,2015,41,46,0,0,0,0,0
States,Massachusetts,2015,41,256,1,1,0.78,0.39,0.39
States,Michigan,2015,41,534,8,2,1.87,1.5,0.37
States,Minnesota,2015,41,243,2,0,0.82,0.82,0
States,Mississippi,2015,41,147,2,0,1.36,1.36,0
States,Missouri,2015,41,165,1,2,1.82,0.61,1.21
States,Montana,2015,41,72,0,0,0,0,0
States,Nebraska,2015,41,55,0,2,3.64,0,3.64
States,Nevada,2015,41,12,0,0,0,0,0
States,New Hampshire,2015,41,23,0,0,0,0,0
States,New Jersey,2015,41,X,X,X,X,X,X
States,New Mexico,2015,41,218,0,0,0,0,0
States,New York,2015,41,1239,4,2,0.48,0.32,0.16
States,North Carolina,2015,41,146,0,2,1.37,0,1.37
States,North Dakota,2015,41,X,X,X,X,X,X
