"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,Alabama,2010,40,54,0,0,0,0,0,0,0,0
States,Alaska,2010,40,40,0,0,0,0,0,0,0,0
States,Arizona,2010,40,40,2.5,0,0,1,0,0,0,0
States,Arkansas,2010,40,15,0,0,0,0,0,0,0,0
States,California,2010,40,183,3.28,2,0,3,0,0,1,0
States,Colorado,2010,40,126,0.79,0,0,1,0,0,0,0
States,Connecticut,2010,40,54,0,0,0,0,0,0,0,0
States,Delaware,2010,40,75,4,0,0,3,0,0,0,0
States,District of Columbia,2010,40,14,0,0,0,0,0,0,0,0
States,Florida,2010,40,X,X,X,X,X,X,X,X,X
States,Georgia,2010,40,209,0.96,0,0,0,0,0,2,0
States,Hawaii,2010,40,83,10.84,3,0,5,1,0,0,0
States,Idaho,2010,40,X,X,X,X,X,X,X,X,X
States,Illinois,2010,40,44,0,0,0,0,0,0,0,0
States,Indiana,2010,40,88,0,0,0,0,0,0,0,0
States,Iowa,2010,40,46,0,0,0,0,0,0,0,0
States,Kansas,2010,40,X,X,X,X,X,X,X,X,X
States,Kentucky,2010,40,48,2.08,1,0,0,0,0,0,0
States,Louisiana,2010,40,X,X,X,X,X,X,X,X,X
States,Maine,2010,40,X,X,X,X,X,X,X,X,X
States,Maryland,2010,40,13,0,0,0,0,0,0,0,0
States,Massachusetts,2010,40,21,0,0,0,0,0,0,0,0
States,Michigan,2010,40,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,40,51,1.96,0,0,1,0,0,0,0
States,Mississippi,2010,40,12,0,0,0,0,0,0,0,0
States,Missouri,2010,40,160,0,0,0,0,0,0,0,0
States,Montana,2010,40,21,0,0,0,0,0,0,0,0
States,Nebraska,2010,40,20,0,0,0,0,0,0,0,0
States,Nevada,2010,40,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,40,10,10,1,0,0,0,0,0,0
States,New Jersey,2010,40,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,40,X,X,X,X,X,X,X,X,X
States,New York,2010,40,300,1,0,0,0,3,0,0,0
States,North Carolina,2010,40,X,X,X,X,X,X,X,X,X
States,North Dakota,2010,40,36,2.78,0,0,0,1,0,0,0
States,Ohio,2010,40,61,0,0,0,0,0,0,0,0
States,Oklahoma,2010,40,36,0,0,0,0,0,0,0,0
States,Oregon,2010,40,18,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,40,176,0.57,0,0,0,0,0,1,0
States,Rhode Island,2010,40,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,40,66,1.52,0,0,1,0,0,0,0
States,South Dakota,2010,40,21,0,0,0,0,0,0,0,0
States,Tennessee,2010,40,52,1.92,0,0,0,0,0,1,0
States,Texas,2010,40,301,0.66,0,0,0,1,0,1,0
States,Utah,2010,40,166,2.41,0,0,1,2,0,1,0
States,Vermont,2010,40,X,X,X,X,X,X,X,X,X
States,Virginia,2010,40,24,4.17,0,0,0,0,0,1,0
States,Washington,2010,40,126,1.59,0,0,0,1,0,1,0
States,West Virginia,2010,40,150,0,0,0,0,0,0,0,0
States,Wisconsin,2010,40,93,0,0,0,0,0,0,0,0
States,Wyoming,2010,40,26,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,40,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,40,X,X,X,X,X,X,X,X,X
States,New York City,2010,40,X,X,X,X,X,X,X,X,X
States,Alabama,2010,41,46,0,0,0,0,0,0,0,0
States,Alaska,2010,41,38,0,0,0,0,0,0,0,0
States,Arizona,2010,41,47,6.38,0,0,1,0,0,2,0
States,Arkansas,2010,41,20,5,0,0,0,0,0,1,0
States,California,2010,41,163,1.23,0,0,0,0,0,2,0
States,Colorado,2010,41,157,1.27,1,0,1,0,0,0,0
States,Connecticut,2010,41,57,1.75,0,0,1,0,0,0,0
States,Delaware,2010,41,73,1.37,0,0,1,0,0,0,0
States,District of Columbia,2010,41,X,X,X,X,X,X,X,X,X
States,Florida,2010,41,X,X,X,X,X,X,X,X,X
States,Georgia,2010,41,223,1.79,0,0,0,1,0,3,0
States,Hawaii,2010,41,217,7.83,5,0,5,4,0,3,0
States,Idaho,2010,41,X,X,X,X,X,X,X,X,X
States,Illinois,2010,41,40,10,1,0,3,0,0,0,0
States,Indiana,2010,41,97,0,0,0,0,0,0,0,0
States,Iowa,2010,41,46,0,0,0,0,0,0,0,0
States,Kansas,2010,41,10,0,0,0,0,0,0,0,0
States,Kentucky,2010,41,51,3.92,2,0,0,0,0,0,0
States,Louisiana,2010,41,X,X,X,X,X,X,X,X,X
States,Maine,2010,41,X,X,X,X,X,X,X,X,X
States,Maryland,2010,41,13,0,0,0,0,0,0,0,0
States,Massachusetts,2010,41,15,0,0,0,0,0,0,0,0
States,Michigan,2010,41,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,41,64,3.13,0,0,2,0,0,0,0
States,Mississippi,2010,41,X,X,X,X,X,X,X,X,X
States,Missouri,2010,41,168,0,0,0,0,0,0,0,0
States,Montana,2010,41,X,X,X,X,X,X,X,X,X
States,Nebraska,2010,41,17,0,0,0,0,0,0,0,0
States,Nevada,2010,41,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,41,X,X,X,X,X,X,X,X,X
States,New Jersey,2010,41,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,41,14,0,0,0,0,0,0,0,0
States,New York,2010,41,262,0.76,0,0,0,1,0,1,0
States,North Carolina,2010,41,14,0,0,0,0,0,0,0,0
States,North Dakota,2010,41,38,2.63,0,0,0,1,0,0,0
States,Ohio,2010,41,63,0,0,0,0,0,0,0,0
States,Oklahoma,2010,41,29,0,0,0,0,0,0,0,0
States,Oregon,2010,41,20,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,41,164,0,0,0,0,0,0,0,0
States,Rhode Island,2010,41,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,41,85,1.18,0,0,0,0,0,1,0
States,South Dakota,2010,41,31,0,0,0,0,0,0,0,0
States,Tennessee,2010,41,66,0,0,0,0,0,0,0,0
States,Texas,2010,41,426,2.82,0,0,7,0,0,5,0
States,Utah,2010,41,186,5.38,2,0,6,2,0,0,0
States,Vermont,2010,41,X,X,X,X,X,X,X,X,X
States,Virginia,2010,41,32,0,0,0,0,0,0,0,0
States,Washington,2010,41,145,0,0,0,0,0,0,0,0
States,West Virginia,2010,41,122,0,0,0,0,0,0,0,0
States,Wisconsin,2010,41,84,0,0,0,0,0,0,0,0
States,Wyoming,2010,41,28,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,41,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,41,X,X,X,X,X,X,X,X,X
States,New York City,2010,41,X,X,X,X,X,X,X,X,X
States,Alabama,2010,42,55,1.82,0,0,0,0,0,1,0
States,Alaska,2010,42,21,0,0,0,0,0,0,0,0
States,Arizona,2010,42,56,1.79,0,0,1,0,0,0,0
States,Arkansas,2010,42,14,0,0,0,0,0,0,0,0
States,California,2010,42,174,2.87,0,0,1,1,0,3,0
States,Colorado,2010,42,153,0.65,0,0,0,1,0,0,0
States,Connecticut,2010,42,71,1.41,0,0,1,0,0,0,0
States,Delaware,2010,42,87,1.15,0,0,1,0,0,0,0
States,District of Columbia,2010,42,24,0,0,0,0,0,0,0,0
States,Florida,2010,42,X,X,X,X,X,X,X,X,X
States,Georgia,2010,42,158,4.43,0,0,1,1,0,5,0
States,Hawaii,2010,42,214,7.94,5,0,7,2,0,3,0
States,Idaho,2010,42,X,X,X,X,X,X,X,X,X
States,Illinois,2010,42,37,2.7,1,0,0,0,0,0,0
States,Indiana,2010,42,87,0,0,0,0,0,0,0,0
States,Iowa,2010,42,42,0,0,0,0,0,0,0,0
